name,post_count
1girl,6165862
highres,5448734
solo,5126015
long_hair,4474837
breasts,3536231
looking_at_viewer,3419873
commentary_request,3386056
blush,3019669
smile,2961699
open_mouth,2448154
short_hair,2319324
shirt,1891655
simple_background,1886695
absurdres,1860676
blue_eyes,1809602
long_sleeves,1624501
large_breasts,1623476
skirt,1599358
blonde_hair,1585918
multiple_girls,1574849
white_background,1554232
black_hair,1552477
brown_hair,1539336
hair_ornament,1461812
1boy,1453726
commentary,1441481
holding,1414872
gloves,1394895
dress,1337725
red_eyes,1310673
hat,1238655
closed_mouth,1221714
bow,1209975
animal_ears,1207637
bad_id,1205427
hair_between_eyes,1203881
original,1195722
thighhighs,1195196
navel,1181720
ribbon,1113920
jewelry,1099649
2girls,1050656
cleavage,1029023
bare_shoulders,1001351
very_long_hair,983334
jacket,974013
sitting,966777
bad_pixiv_id,946962
standing,931987
twintails,926706
touhou,910470
medium_breasts,909889
white_shirt,883568
blue_hair,881164
green_eyes,872183
brown_eyes,863491
nipples,849694
full_body,842985
purple_eyes,833315
collarbone,810252
school_uniform,809114
underwear,808772
tail,808171
upper_body,799762
male_focus,738776
closed_eyes,730676
white_hair,725960
multicolored_hair,719924
pink_hair,716293
yellow_eyes,715269
ponytail,714155
grey_hair,706845
photoshop_(medium),706706
swimsuit,673730
ahoge,668590
purple_hair,666335
panties,659300
braid,646851
monochrome,646044
short_sleeves,640581
flower,639453
sidelocks,637298
hair_ribbon,618136
weapon,610584
ass,606136
heart,600939
thighs,582102
earrings,580151
cowboy_shot,578057
:d,566002
translated,562873
hetero,560170
outdoors,554806
translation_request,554154
comic,552453
pantyhose,548379
hair_bow,546961
sweat,539161
red_hair,536437
pleated_skirt,513275
greyscale,513242
teeth,512955
frills,512859
bikini,511621
open_clothes,511351
parted_lips,509634
nude,507410
small_breasts,506992
kantai_collection,501256
hairband,487283
english_commentary,482966
multiple_boys,480948
horns,477101
collared_shirt,469202
censored,468363
boots,467993
necktie,458827
lying,458295
shorts,457161
food,455893
black_gloves,453362
wings,447086
sky,446978
alternate_costume,445052
one_eye_closed,444427
sleeveless,441092
pants,439370
detached_sleeves,436930
green_hair,429326
shoes,427605
penis,420480
choker,418825
virtual_youtuber,411423
japanese_clothes,407293
pointy_ears,400740
socks,399669
medium_hair,395811
artist_name,391368
tongue,390577
barefoot,379575
glasses,376143
indoors,374433
pussy,374074
black_thighhighs,366829
solo_focus,366468
hand_up,364358
puffy_sleeves,360524
belt,356758
day,348700
hairclip,345451
official_alternate_costume,344251
fang,331235
fate_(series),330374
serafuku,320559
official_art,319627
bowtie,314188
2boys,313456
elbow_gloves,311808
black_skirt,309349
signature,308736
white_gloves,307935
hood,307824
midriff,306976
blunt_bangs,301568
black_footwear,299710
cloud,298126
dark_skin,295026
cat_ears,289729
pink_eyes,288926
hair_flower,288413
tongue_out,287989
looking_back,286829
sailor_collar,284101
speech_bubble,282039
sword,281596
halo,280169
twitter_username,279123
white_dress,278284
looking_at_another,276922
stomach,276869
pokemon,276418
grey_background,274835
sex,274786
holding_weapon,272980
miniskirt,271224
fingerless_gloves,268604
wide_sleeves,263657
mole,262347
blue_archive,260512
on_back,259660
spread_legs,259090
streaked_hair,256151
necklace,255450
hair_over_one_eye,253958
hair_bun,253687
cum,253583
chibi,250590
open_jacket,250404
two-tone_hair,250353
3girls,249658
kimono,249481
english_text,249083
armpits,248621
off_shoulder,248034
nail_polish,246779
star_(symbol),246499
orange_hair,246132
black_jacket,244310
black_dress,244181
fate/grand_order,243433
striped_clothes,241869
grin,241128
tears,239758
from_behind,238824
black_eyes,238153
coat,236219
rabbit_ears,235454
sweatdrop,235053
blurry,234564
idolmaster,233571
bag,232843
from_side,229388
white_thighhighs,227758
genshin_impact,227098
water,226773
yuri,225955
hololive,225820
black_shirt,221743
vest,221697
cape,220654
red_bow,217867
huge_breasts,217370
scarf,217112
armor,216592
arm_up,215651
leotard,214263
apron,213854
clothes_lift,212810
character_name,209924
sweater,207656
black_pantyhose,207396
bra,207002
feet,206630
bad_twitter_id,206416
mosaic_censoring,205645
high_heels,205625
animal_ear_fluff,204943
parted_bangs,202629
blue_sky,201288
vaginal,201269
crop_top,200787
bracelet,197783
collar,195746
arms_up,193155
dated,193126
:o,191972
commission,190850
white_panties,190821
completely_nude,190603
grey_eyes,189085
cup,187471
red_ribbon,187088
hands_up,187083
looking_to_the_side,185487
fingernails,184978
twin_braids,184441
dark-skinned_female,183516
v-shaped_eyebrows,182671
aqua_eyes,182026
side_ponytail,181539
puffy_short_sleeves,181475
blue_skirt,180846
flat_chest,179822
two_side_up,179212
neckerchief,179186
orange_eyes,178039
eyelashes,177733
chinese_commentary,172733
tree,172331
multiple_views,171406
symbol-shaped_pupils,169897
sleeves_past_wrists,167583
fur_trim,166516
mole_under_eye,163491
covered_nipples,162635
clothing_cutout,162011
strapless,161185
cat_tail,160993
black_choker,160607
upper_teeth_only,160407
vocaloid,160174
hand_on_own_hip,158664
toes,157741
see-through_clothes,157655
v,157177
feet_out_of_frame,156149
sleeveless_shirt,155866
bar_censor,155674
sleeveless_dress,155604
wrist_cuffs,155568
sparkle,155052
legs,154613
sketch,154335
fake_animal_ears,153433
no_humans,152431
pokemon_(creature),152349
fox_ears,152063
loli,152033
maid,151459
wet,150964
groin,150260
black_pants,149307
maid_headdress,148170
torn_clothes,148168
pillow,147879
gun,147825
thigh_strap,147331
muscular,145696
buttons,145677
ascot,144599
short_shorts,144511
sash,144444
gradient_background,144135
neck_ribbon,143759
border,143528
black_bow,143272
arknights,142936
gradient_hair,142383
book,142307
bare_arms,141867
head_tilt,141612
lips,141508
tattoo,140207
cosplay,140067
pubic_hair,139679
bare_legs,138838
uncensored,138539
one-piece_swimsuit,138464
plaid_clothes,138258
black_panties,138176
colored_skin,137702
covered_navel,137245
black_ribbon,137239
zettai_ryouiki,136894
hoodie,136868
window,135746
blurry_background,135356
detached_collar,135044
single_braid,133388
profile,132877
petals,132608
